15:26:51.136 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] The encoding used to copy filtered properties files have not been set. This means that the same encoding will be used to copy filtered properties files as when copying other filtered resources. This might not be what you want! Run your build with --debug to see which files might be affected. Read more at https://maven.apache.org/plugins/maven-resources-plugin/examples/filtering-properties-files.html
15:26:51.138 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] 
15:26:51.138 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] --- compiler:3.8.1:compile (default-compile) @ finmath-lib ---
15:26:51.422 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [WARNING] ****************************************************************************************************************************************************************
15:26:51.423 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [WARNING] * Required filename-based automodules detected: [commons-math3-3.6.1.jar, jblas-1.2.4.jar]. Please don't publish this project to a public artifact repository! *
15:26:51.423 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [WARNING] ****************************************************************************************************************************************************************
15:26:51.484 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] Changes detected - recompiling the module!
15:26:51.559 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] Compiling 754 source files to /Users/amishra/Developer/finmath-lib/target/classes
15:26:55.526 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] 
15:26:55.526 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] --- bnd:5.3.0:bnd-process (default) @ finmath-lib ---
15:26:59.328 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] 
15:26:59.328 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] --- resources:3.3.1:testResources (default-testResources) @ finmath-lib ---
15:26:59.331 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] Copying 10 resources from src/test/resources to target/test-classes
15:26:59.333 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] 
15:26:59.333 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] --- compiler:3.8.1:testCompile (default-testCompile) @ finmath-lib ---
15:26:59.383 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] Changes detected - recompiling the module!
15:26:59.406 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] Compiling 140 source files to /Users/amishra/Developer/finmath-lib/target/test-classes
15:27:02.316 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] 
15:27:02.317 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] --- surefire:3.0.0-M5:test (default-test) @ finmath-lib ---
15:27:02.407 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] Tests are skipped.
15:27:02.409 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] 
15:27:02.409 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] --- jar:3.2.0:jar (default-jar) @ finmath-lib ---
15:27:02.669 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] Building jar: /Users/amishra/Developer/finmath-lib/target/finmath-lib-6.0.21-SNAPSHOT.jar
15:27:02.882 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] 
15:27:02.882 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] >>> source:3.2.1:jar (attach-sources) > generate-sources @ finmath-lib >>>
15:27:02.883 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] 
15:27:02.884 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] --- enforcer:1.0:enforce (enforce-maven) @ finmath-lib ---
15:27:02.886 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] 
